Altium Designer Pick and Place Locations
C:\Users\ilgun\OneDrive\Masaüstü\altium\Arduino\28 pins\Project Outputs for 28 pins\Pick Place\Pick Place for 28pins_pcb(FIXED 5V).txt

========================================================================================================================
File Design Information:

Date:       14-11-24
Time:       20:11
Revision:   Not in VersionControl
Variant:    FIXED 5V
Units used: mm

Designator Comment                     Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                     
SCKT       "28-DIP Socket"             TopLayer 28_SCKT_DIP                 -438.6580mm  -443.1030mm  90       "IC Socket, DIP28, 28 Contact(s)"                                                                                               
Z2         CG0603MLC-05E               TopLayer R0603                       6.7000mm     22.5000mm    270      "Varistor, 5V, Surface Mount"                                                                                                   
Z1         CG0603MLC-05E               TopLayer R0603                       6.8000mm     18.2000mm    90       "Varistor, 5V, Surface Mount"                                                                                                   
Y2         ABM7-16.000MHZ-D2Y-T        TopLayer ABM7-16MHZ,BIG              27.4000mm    25.4000mm    90       "Crystal 16MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 50Ohm 2-Pin Mini-CSMD T/R"                                             
Y1         ABM7-16.000MHZ-D2Y-T        TopLayer ABM7-16MHZ,BIG              44.8000mm    30.1500mm    90       "Crystal 16MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 50Ohm 2-Pin Mini-CSMD T/R"                                             
U7         SN74AHC1G09DBVR             TopLayer DBV_SOT                     35.9500mm    8.1500mm     0        "AND Gate, AHC/VHC/H/U/V Series, 1-Func, 2-Input, CMOS, PDSO5"                                                                  
U6         SN74AHC1G09DBVR             TopLayer DBV_SOT                     57.4000mm    28.6000mm    90       "AND Gate, AHC/VHC/H/U/V Series, 1-Func, 2-Input, CMOS, PDSO5"                                                                  
U5         SN74AHC1G09DBVR             TopLayer DBV_SOT                     2.2000mm     31.0000mm    0        "AND Gate, AHC/VHC/H/U/V Series, 1-Func, 2-Input, CMOS, PDSO5"                                                                  
U4         SN74AHC1G09DBVR             TopLayer DBV_SOT                     18.0500mm    44.9500mm    270      "AND Gate, AHC/VHC/H/U/V Series, 1-Func, 2-Input, CMOS, PDSO5"                                                                  
U3         TL1963A-33DCQR              TopLayer DCQ(R-PDSO-G6)              19.2875mm    12.7000mm    180      "Fixed Positive LDO Regulator, 3.3V, 0.55V Dropout, BIPolar, PDSO6"                                                             
U2         ATMEGA16U2-AU-ND            TopLayer TQFP32                      15.3000mm    30.5000mm    180      "RISC Microcontroller, 8-Bit, FLASH, AVR RISC CPU, 16MHz, CMOS, PQFP32"                                                         
U1         ATMEGA328P-PU               TopLayer 28_DIP_7.62MM               49.3250mm    17.1350mm    270      "RISC Microcontroller, 8-Bit, FLASH, AVR RISC CPU, 20MHz, CMOS, PDIP28"                                                         
SW2        FSM4JH                      TopLayer SW                          22.0000mm    3.6000mm     90       "Keypad Switch, 1 Switches, Momentary-tactile, 0.05A, 1.57N, Solder Terminal, Through Hole-straight"                            
SW1        FSM4JH                      TopLayer SW                          64.3000mm    26.3000mm    90       "Keypad Switch, 1 Switches, Momentary-tactile, 0.05A, 1.57N, Solder Terminal, Through Hole-straight"                            
